,tweet_id,favorites,retweets
79,877316821321428993,26915,5089
80,877201837425926144,26652,5482
81,876838120628539392,20328,3279
82,876537666061221889,23105,4562
83,876484053909872640,18438,2358
84,876120275196170240,27442,4608
85,875747767867523072,24767,4221
86,875144289856114688,21561,4848
87,875097192612077568,26952,5959
88,875021211251597312,25045,4645
89,874680097055178752,27352,4567
90,874434818259525634,0,14495
91,874296783580663808,25624,4043
92,874057562936811520,22296,3902
93,874012996292530176,34016,10252
94,873580283840344065,23831,3889
95,873337748698140672,0,1564
96,873213775632977920,7129,1564
97,872967104147763200,26944,5346
98,872820683541237760,14504,3649
99,872620804844003328,20504,3648
100,872486979161796608,40097,8928
101,872261713294495745,33730,6249
102,872122724285648897,33961,8039
103,871879754684805121,37441,11048
104,871762521631449091,20010,3447
105,871515927908634625,19954,3426
106,871166179821445120,0,5661
107,871102520638267392,20675,5464
108,871032628920680449,22407,3787
109,870804317367881728,33241,6161
110,870726314365509632,119,3
111,870656317836468226,12278,2628
112,870374049280663552,81862,26067
113,870308999962521604,21616,4134
114,870063196459192321,36310,8313
115,869772420881756160,42019,9990
116,869702957897576449,27972,6327
117,869596645499047938,15831,3126
118,869227993411051520,20288,3774
119,868880397819494401,65128,14451
120,868639477480148993,0,2097
121,868622495443632128,26552,5291
122,868552278524837888,10060,2097
123,867900495410671616,24052,4179
124,867774946302451713,33789,7344
125,867421006826221569,16028,2508
126,867072653475098625,0,121
127,867051520902168576,32085,7882
128,866720684873056260,19996,4822
129,866686824827068416,19258,3491
130,866450705531457537,121830,35403
131,866334964761202691,52385,14495
132,866094527597207552,0,8406
133,865718153858494464,25575,5646
134,865359393868664832,26426,5030
135,865006731092295680,27952,7728
136,864873206498414592,32255,8752
137,864279568663928832,14616,3055
138,864197398364647424,30145,9006
139,863907417377173506,20623,4178
140,863553081350529029,15310,4219
141,863471782782697472,0,2476
142,863432100342583297,23845,5310
143,863427515083354112,2270,97
144,863079547188785154,8780,1114
145,863062471531167744,8541,2476
146,862831371563274240,19202,5146
147,862722525377298433,17098,3564
148,862457590147678208,20586,5010
149,862096992088072192,74754,23566
